what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357929985371
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357929989459
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357929996931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930003795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930010737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930016041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930037242
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357930044028
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930047070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930053497
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930070282
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357930084463
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.format",1357930103386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930104618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930111264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930120624
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930123229
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930123884
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1357930127535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357930128299
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1357930131325
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357930132745
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930135147
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930135943
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930137877
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930140295
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930144617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930152900
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930154289
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930166004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930174428
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357930176316
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930178500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930179420
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930184709
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930186237
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1357930195691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357930196128
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357930221400
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930223584
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357930227484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930230713
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357930235830
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357930238123
